,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,model_name,test_mean_error,type
0,0.8038920023870918,-0.2871149333941676,-0.181745719732864,Linear Regression,-1.303010161490814e-05,Cross-Section
1,0.8632472374482354,-0.234801702342049,-0.17840522730789862,Linear Regression,-1.678066302712722e-05,Cross-Section
2,0.8502280840871475,-0.2432619628192952,-0.17751494927561368,Linear Regression,-6.753789371727326e-05,Cross-Section
3,0.863009573772959,-0.23520347389048715,-0.17942977428673015,Linear Regression,-8.332996499027523e-05,Cross-Section
4,0.8660999509045981,-0.23791362693138637,-0.18141743794609191,Linear Regression,-4.410699492751746e-06,Cross-Section
5,0.9055933745624393,-0.19497165404611444,-0.14444643539643667,Random Forests,-8.479862075860822e-07,Cross-Section
6,0.9049454657046924,-0.1981636455613756,-0.14615261171896288,Random Forests,-8.774306829328893e-06,Cross-Section
7,0.9031813951273947,-0.19597093174403374,-0.1426075451954292,Random Forests,-2.4949081891545433e-05,Cross-Section
8,0.9099246364057025,-0.19398696453820238,-0.1447635813606283,Random Forests,-8.843446731576776e-07,Cross-Section
9,0.9013024359787276,-0.20235401630311547,-0.1471109332819787,Random Forests,-3.222481256281995e-06,Cross-Section
10,0.6657815852768028,-0.3579597144296222,-0.19489246317421366,Linear Regression,-0.00497286668321717,Time-Series
11,0.7944003991087518,-0.28378282619268796,-0.2222602603357636,Linear Regression,-0.043752772016380836,Time-Series
12,0.7717283880290446,-0.28052755945732255,-0.2174492757496212,Linear Regression,-0.03968585824523885,Time-Series
13,0.6070001478283116,-0.3340993117190023,-0.2711829508443103,Linear Regression,-0.16750747612395178,Time-Series
14,0.6931941957430398,-0.27641192582496915,-0.21697180437629138,Linear Regression,-0.10658599699614246,Time-Series
15,0.8624649975490857,-0.22962839232734536,-0.16859969569974675,Random Forests,-0.007325608156368069,Time-Series
16,0.800197607087686,-0.279753364596174,-0.22502355265691898,Random Forests,-0.0706837209244523,Time-Series
17,0.7655421408365076,-0.28430335070690776,-0.2220945176461209,Random Forests,-0.08562721245082416,Time-Series
18,0.8376600941574748,-0.2147296579535308,-0.16484341892693824,Random Forests,-0.02972808033825003,Time-Series
19,0.784620337706114,-0.23159401766592064,-0.1877100659517316,Random Forests,-0.06775770288066596,Time-Series
